District Number,District Name,County_1,County_2,County_3,County_4,County_5,County_6,County_7,County_8,County_9,County_10
177902,Sweetwater ISD,FISHER,NOLAN,,,,,,,,
177903,Blackwell Cons ISD,COKE,NOLAN,RUNNELS,TAYLOR,,,,,,
177905,Highland ISD,COKE,MITCHELL,NOLAN,,,,,,,
178901,Agua Dulce ISD,JIM WELLS,NUECES,,,,,,,,
178902,Bishop Cons ISD,JIM WELLS,KLEBERG,NUECES,,,,,,,
178903,Calallen ISD,NUECES,SAN PATRICIO,,,,,,,,
178904,Corpus Christi ISD,NUECES,SAN PATRICIO,,,,,,,,
178905,Driscoll ISD,JIM WELLS,NUECES,,,,,,,,
178906,London ISD,KLEBERG,NUECES,,,,,,,,
178908,Port Aransas ISD,ARANSAS,NUECES,,,,,,,,
178909,Robstown ISD,NUECES,,,,,,,,,
178912,Tuloso-Midway ISD,NUECES,SAN PATRICIO,,,,,,,,
178913,Banquete ISD,JIM WELLS,NUECES,SAN PATRICIO,,,,,,,
178914,Flour Bluff ISD,KLEBERG,NUECES,,,,,,,,
178915,West Oso ISD,NUECES,,,,,,,,,
179901,Perryton ISD,HANSFORD,LIPSCOMB,OCHILTREE,ROBERTS,,,,,,
180901,Boys Ranch ISD,OLDHAM,,,,,,,,,
180902,Vega ISD,DEAF SMITH,OLDHAM,,,,,,,,
180903,Adrian ISD,DEAF SMITH,OLDHAM,,,,,,,,
180904,Wildorado ISD,DEAF SMITH,OLDHAM,POTTER,RANDALL,,,,,,
181901,Bridge City ISD,JEFFERSON,ORANGE,,,,,,,,
181905,Orangefield ISD,JEFFERSON,ORANGE,,,,,,,,
181906,West Orange-Cove Cons ISD,ORANGE,,,,,,,,,
181907,Vidor ISD,HARDIN,JASPER,JEFFERSON,ORANGE,,,,,,
181908,Little Cypress-Mauriceville Cons ISD,JASPER,NEWTON,ORANGE,,,,,,,
182901,Gordon ISD,ERATH,PALO PINTO,,,,,,,,
182902,Graford ISD,JACK,PALO PINTO,STEPHENS,YOUNG,,,,,,
182903,Mineral Wells ISD,PALO PINTO,PARKER,,,,,,,,
182904,Santo ISD,ERATH,PALO PINTO,PARKER,,,,,,,
182905,Strawn ISD,EASTLAND,ERATH,PALO PINTO,STEPHENS,,,,,,
182906,Palo Pinto ISD,PALO PINTO,STEPHENS,,,,,,,,
183901,Beckville ISD,HARRISON,PANOLA,RUSK,,,,,,,
183902,Carthage ISD,HARRISON,PANOLA,RUSK,SHELBY,,,,,,
183904,Gary ISD,PANOLA,RUSK,SHELBY,,,,,,,
184901,Poolville ISD,JACK,PARKER,WISE,,,,,,,
184902,Springtown ISD,PARKER,WISE,,,,,,,,
184903,Weatherford ISD,HOOD,PARKER,,,,,,,,
184904,Millsap ISD,PALO PINTO,PARKER,,,,,,,,
184907,Aledo ISD,HOOD,PARKER,TARRANT,,,,,,,
184908,Peaster ISD,PARKER,,,,,,,,,
184909,Brock ISD,HOOD,PARKER,,,,,,,,
184911,Garner ISD,PALO PINTO,PARKER,,,,,,,,
185901,Bovina ISD,PARMER,,,,,,,,,
185902,Farwell ISD,BAILEY,PARMER,,,,,,,,
185903,Friona ISD,CASTRO,DEAF SMITH,PARMER,,,,,,,
185904,Lazbuddie ISD,BAILEY,CASTRO,LAMB,PARMER,,,,,,
186901,Buena Vista ISD,CRANE,PECOS,REEVES,WARD,,,,,,
186902,Fort Stockton ISD,BREWSTER,JEFF DAVIS,PECOS,REEVES,TERRELL,,,,,
186903,Iraan-Sheffield ISD,CRANE,CROCKETT,PECOS,TERRELL,,,,,,
187901,Big Sandy ISD (Polk),HARDIN,LIBERTY,POLK,TYLER,,,,,,
187903,Goodrich ISD,POLK,SAN JACINTO,,,,,,,,
187904,Corrigan-Camden ISD,ANGELINA,POLK,TRINITY,,,,,,,
187906,Leggett ISD,POLK,,,,,,,,,
187907,Livingston ISD,LIBERTY,POLK,SAN JACINTO,TRINITY,,,,,,
187910,Onalaska ISD,POLK,SAN JACINTO,TRINITY,,,,,,,
188901,Amarillo ISD,POTTER,RANDALL,,,,,,,,
188902,River Road ISD,POTTER,,,,,,,,,
188903,Highland Park ISD (Potter),ARMSTRONG,CARSON,MOORE,POTTER,RANDALL,,,,,
188904,Bushland ISD,DEAF SMITH,MOORE,OLDHAM,POTTER,RANDALL,,,,,
189901,Marfa ISD,BREWSTER,JEFF DAVIS,PRESIDIO,,,,,,,
189902,Presidio ISD,HUDSPETH,JEFF DAVIS,PRESIDIO,,,,,,,
190903,Rains ISD,HOPKINS,HUNT,RAINS,VAN ZANDT,WOOD,,,,,
191901,Canyon ISD,ARMSTRONG,CARSON,CASTRO,DEAF SMITH,POTTER,RANDALL,,,,
192901,Reagan County ISD,CROCKETT,GLASSCOCK,IRION,REAGAN,STERLING,TOM GREEN,UPTON,,,
193902,Leakey ISD,BANDERA,EDWARDS,KERR,REAL,UVALDE,,,,,
194902,Avery ISD,BOWIE,MORRIS,RED RIVER,TITUS,,,,,,
194903,Rivercrest ISD,FRANKLIN,RED RIVER,TITUS,,,,,,,
194904,Clarksville ISD,RED RIVER,TITUS,,,,,,,,
194905,Detroit ISD,LAMAR,RED RIVER,,,,,,,,
195901,Pecos-Barstow-Toyah ISD,CULBERSON,JEFF DAVIS,LOVING,PECOS,REEVES,WARD,,,,
195902,Balmorhea ISD,CULBERSON,JEFF DAVIS,REEVES,,,,,,,
196901,Austwell-Tivoli ISD,ARANSAS,CALHOUN,REFUGIO,VICTORIA,,,,,,
196902,Woodsboro ISD,ARANSAS,BEE,REFUGIO,SAN PATRICIO,,,,,,
196903,Refugio ISD,ARANSAS,BEE,CALHOUN,GOLIAD,REFUGIO,VICTORIA,,,,
197902,Miami ISD,GRAY,HANSFORD,HEMPHILL,HUTCHINSON,LIPSCOMB,OCHILTREE,ROBERTS,WHEELER,,
198901,Bremond ISD,FALLS,LIMESTONE,MILAM,ROBERTSON,,,,,,
198902,Calvert ISD,MILAM,ROBERTSON,,,,,,,,
198903,Franklin ISD,BRAZOS,LEON,LIMESTONE,ROBERTSON,,,,,,
198905,Hearne ISD,BRAZOS,MILAM,ROBERTSON,,,,,,,
198906,Mumford ISD,BRAZOS,BURLESON,MILAM,ROBERTSON,,,,,,
199901,Rockwall ISD,COLLIN,DALLAS,KAUFMAN,ROCKWALL,,,,,,
199902,Royse City ISD,COLLIN,HUNT,KAUFMAN,ROCKWALL,,,,,,
200901,Ballinger ISD,COLEMAN,CONCHO,RUNNELS,,,,,,,
200902,Miles ISD,COKE,CONCHO,RUNNELS,TOM GREEN,,,,,,
200904,Winters ISD,COKE,NOLAN,RUNNELS,TAYLOR,,,,,,
200906,Olfen ISD,CONCHO,RUNNELS,,,,,,,,
201902,Henderson ISD,CHEROKEE,PANOLA,RUSK,SHELBY,,,,,,
201903,Laneville ISD,NACOGDOCHES,RUSK,,,,,,,,
201904,Leveretts Chapel ISD,GREGG,RUSK,,,,,,,,
201907,Mount Enterprise ISD,NACOGDOCHES,RUSK,,,,,,,,
201908,Overton ISD,GREGG,RUSK,SMITH,,,,,,,
201910,Tatum ISD,GREGG,HARRISON,PANOLA,RUSK,,,,,,
201913,Carlisle ISD,CHEROKEE,RUSK,SMITH,,,,,,,
201914,West Rusk County Cons ISD,RUSK,SMITH,,,,,,,,
202903,Hemphill ISD,NEWTON,SABINE,SAN AUGUSTINE,SHELBY,,,,,,
202905,West Sabine ISD,SABINE,SAN AUGUSTINE,,,,,,,,
203901,San Augustine ISD,NACOGDOCHES,SABINE,SAN AUGUSTINE,SHELBY,,,,,,
203902,Broaddus ISD,ANGELINA,JASPER,NACOGDOCHES,SABINE,SAN AUGUSTINE,,,,,
204901,Coldspring-Oakhurst Cons ISD,MONTGOMERY,POLK,SAN JACINTO,TRINITY,WALKER,,,,,
204904,Shepherd ISD,LIBERTY,POLK,SAN JACINTO,,,,,,,
205901,Aransas Pass ISD,ARANSAS,NUECES,SAN PATRICIO,,,,,,,
205902,Gregory-Portland ISD,ARANSAS,NUECES,SAN PATRICIO,,,,,,,
205903,Ingleside ISD,NUECES,SAN PATRICIO,,,,,,,,
205904,Mathis ISD,BEE,JIM WELLS,LIVE OAK,NUECES,SAN PATRICIO,,,,,
205905,Odem-Edroy ISD,NUECES,SAN PATRICIO,,,,,,,,
205906,Sinton ISD,ARANSAS,BEE,REFUGIO,SAN PATRICIO,,,,,,
205907,Taft ISD,NUECES,SAN PATRICIO,,,,,,,,
206901,San Saba ISD,BURNET,LAMPASAS,LLANO,MILLS,SAN SABA,,,,,
206902,Richland Springs ISD,BROWN,MCCULLOCH,MILLS,SAN SABA,,,,,,
206903,Cherokee ISD,LLANO,MASON,SAN SABA,,,,,,,
207901,Schleicher ISD,CONCHO,CROCKETT,IRION,KIMBLE,MENARD,SCHLEICHER,SUTTON,TOM GREEN,,
208901,Hermleigh ISD,FISHER,MITCHELL,NOLAN,SCURRY,,,,,,
208902,Snyder ISD,BORDEN,FISHER,GARZA,HOWARD,KENT,MITCHELL,SCURRY,,,
208903,Ira ISD,HOWARD,MITCHELL,SCURRY,,,,,,,
209901,Albany ISD,JONES,SHACKELFORD,STEPHENS,THROCKMORTON,,,,,,
209902,Moran ISD,CALLAHAN,EASTLAND,SHACKELFORD,STEPHENS,,,,,,
210901,Center ISD,SAN AUGUSTINE,SHELBY,,,,,,,,
210902,Joaquin ISD,PANOLA,SHELBY,,,,,,,,
210903,Shelbyville ISD,SABINE,SAN AUGUSTINE,SHELBY,,,,,,,
210904,Tenaha ISD,PANOLA,SHELBY,,,,,,,,
210905,Timpson ISD,NACOGDOCHES,PANOLA,RUSK,SHELBY,,,,,,
210906,Excelsior ISD,NACOGDOCHES,SAN AUGUSTINE,SHELBY,,,,,,,
211901,Texhoma ISD,HANSFORD,SHERMAN,,,,,,,,
211902,Stratford ISD,DALLAM,HARTLEY,MOORE,SHERMAN,,,,,,
212901,Arp ISD,RUSK,SMITH,,,,,,,,
212902,Bullard ISD,ANDERSON,CHEROKEE,HENDERSON,SMITH,,,,,,
212903,Lindale ISD,SMITH,VAN ZANDT,WOOD,,,,,,,
212904,Troup ISD,CHEROKEE,RUSK,SMITH,,,,,,,
212905,Tyler ISD,HENDERSON,SMITH,VAN ZANDT,,,,,,,
212906,Whitehouse ISD,CHEROKEE,SMITH,,,,,,,,
212909,Chapel Hill ISD (Smith),GREGG,RUSK,SMITH,,,,,,,
212910,Winona ISD,SMITH,UPSHUR,WOOD,,,,,,,
213901,Glen Rose ISD,BOSQUE,ERATH,HOOD,JOHNSON,SOMERVELL,,,,,
214901,Rio Grande City Cons ISD,HIDALGO,STARR,,,,,,,,
214902,San Isidro ISD,BROOKS,HIDALGO,JIM HOGG,STARR,,,,,,
214903,Roma ISD,JIM HOGG,STARR,ZAPATA,,,,,,,
215901,Breckenridge ISD,EASTLAND,PALO PINTO,SHACKELFORD,STEPHENS,THROCKMORTON,YOUNG,,,,
216901,Sterling City ISD,COKE,GLASSCOCK,HOWARD,MITCHELL,REAGAN,STERLING,TOM GREEN,,,
217901,Aspermont ISD,DICKENS,FISHER,HASKELL,JONES,KENT,KING,STONEWALL,,,
218901,Sonora ISD,CROCKETT,EDWARDS,KIMBLE,MENARD,SCHLEICHER,SUTTON,VAL VERDE,,,
219901,Happy ISD,ARMSTRONG,BRISCOE,CASTRO,RANDALL,SWISHER,,,,,
219903,Tulia ISD,BRISCOE,CASTRO,SWISHER,,,,,,,
219905,Kress ISD,BRISCOE,CASTRO,FLOYD,HALE,SWISHER,,,,,
220901,Arlington ISD,DALLAS,TARRANT,,,,,,,,
220902,Birdville ISD,TARRANT,,,,,,,,,
220904,Everman ISD,TARRANT,,,,,,,,,
220905,Fort Worth ISD,PARKER,TARRANT,,,,,,,,
220906,Grapevine-Colleyville ISD,DALLAS,DENTON,TARRANT,,,,,,,
220907,Keller ISD,DENTON,TARRANT,,,,,,,,
220908,Mansfield ISD,DALLAS,ELLIS,JOHNSON,TARRANT,,,,,,
220910,Lake Worth ISD,TARRANT,,,,,,,,,
220912,Crowley ISD,JOHNSON,TARRANT,,,,,,,,
220914,Kennedale ISD,TARRANT,,,,,,,,,
220915,Azle ISD,PARKER,TARRANT,WISE,,,,,,,
220916,Hurst-Euless-Bedford ISD,DALLAS,TARRANT,,,,,,,,
220917,Castleberry ISD,TARRANT,,,,,,,,,
220918,Eagle Mountain-Saginaw ISD,TARRANT,WISE,,,,,,,,
220919,Carroll ISD,DENTON,TARRANT,,,,,,,,
220920,White Settlement ISD,PARKER,TARRANT,,,,,,,,
221901,Abilene ISD,JONES,TAYLOR,,,,,,,,
221904,Merkel ISD,FISHER,JONES,NOLAN,TAYLOR,,,,,,
221905,Trent ISD,FISHER,JONES,NOLAN,TAYLOR,,,,,,
221911,Jim Ned Cons ISD,CALLAHAN,COLEMAN,RUNNELS,TAYLOR,,,,,,
221912,Wylie ISD (Taylor),CALLAHAN,TAYLOR,,,,,,,,
222901,Terrell County ISD,BREWSTER,CROCKETT,PECOS,TERRELL,VAL VERDE,,,,,
223901,Brownfield ISD,COCHRAN,HOCKLEY,TERRY,YOAKUM,,,,,,
223902,Meadow ISD,HOCKLEY,LYNN,TERRY,,,,,,,
223904,Wellman-Union Cons ISD,DAWSON,GAINES,LYNN,TERRY,,,,,,
224901,Throckmorton ISD,BAYLOR,HASKELL,SHACKELFORD,THROCKMORTON,YOUNG,,,,,
224902,Woodson ISD,SHACKELFORD,STEPHENS,THROCKMORTON,YOUNG,,,,,,
225902,Mount Pleasant ISD,CAMP,FRANKLIN,MORRIS,RED RIVER,TITUS,,,,,
225905,Winfield ISD,FRANKLIN,TITUS,,,,,,,,
225906,Chapel Hill ISD (Titus),CAMP,MORRIS,TITUS,,,,,,,
225907,Harts Bluff ISD,TITUS,,,,,,,,,
226901,Christoval ISD,IRION,SCHLEICHER,TOM GREEN,,,,,,,
226903,San Angelo ISD,IRION,TOM GREEN,,,,,,,,
226905,Water Valley ISD,COKE,IRION,REAGAN,STERLING,TOM GREEN,,,,,
226906,Wall ISD,CONCHO,MENARD,SCHLEICHER,TOM GREEN,,,,,,
226907,Grape Creek ISD,COKE,TOM GREEN,,,,,,,,
226908,Veribest ISD,CONCHO,TOM GREEN,,,,,,,,
227901,Austin ISD,HAYS,TRAVIS,,,,,,,,
227904,Pflugerville ISD,TRAVIS,WILLIAMSON,,,,,,,,
227907,Manor ISD,BASTROP,TRAVIS,,,,,,,,
227909,Eanes ISD,TRAVIS,,,,,,,,,
227910,Del Valle ISD,BASTROP,CALDWELL,HAYS,TRAVIS,,,,,,
227912,Lago Vista ISD,TRAVIS,,,,,,,,,
227913,Lake Travis ISD,HAYS,TRAVIS,,,,,,,,
228901,Groveton ISD,HOUSTON,POLK,SAN JACINTO,TRINITY,,,,,,
228903,Trinity ISD,HOUSTON,MADISON,SAN JACINTO,TRINITY,WALKER,,,,,
228904,Centerville ISD (Trinity),ANGELINA,POLK,TRINITY,,,,,,,
228905,Apple Springs ISD,ANGELINA,HOUSTON,TRINITY,,,,,,,
229901,Colmesneil ISD,ANGELINA,JASPER,TYLER,,,,,,,
229903,Woodville ISD,JASPER,POLK,TYLER,,,,,,,
229904,Warren ISD,HARDIN,JASPER,POLK,TYLER,,,,,,
229905,Spurger ISD,JASPER,TYLER,,,,,,,,
229906,Chester ISD,ANGELINA,POLK,TYLER,,,,,,,
230901,Big Sandy ISD (Upshur),GREGG,SMITH,UPSHUR,WOOD,,,,,,
230902,Gilmer ISD,CAMP,GREGG,UPSHUR,,,,,,,
230903,Ore City ISD,HARRISON,MARION,MORRIS,UPSHUR,,,,,,
230904,Union Hill ISD,CAMP,UPSHUR,WOOD,,,,,,,
230905,Harmony ISD,UPSHUR,WOOD,,,,,,,,
230906,New Diana ISD,GREGG,HARRISON,UPSHUR,,,,,,,
230908,Union Grove ISD,GREGG,UPSHUR,,,,,,,,
231901,McCamey ISD,CRANE,CROCKETT,UPTON,,,,,,,
231902,Rankin ISD,CRANE,CROCKETT,ECTOR,MIDLAND,REAGAN,UPTON,,,,
232901,Knippa ISD,UVALDE,,,,,,,,,
232902,Sabinal ISD,FRIO,MEDINA,UVALDE,ZAVALA,,,,,,
232903,Uvalde Cons ISD,FRIO,KINNEY,MAVERICK,MEDINA,REAL,UVALDE,ZAVALA,,,
232904,Utopia ISD,BANDERA,KERR,MEDINA,REAL,UVALDE,,,,,
233901,San Felipe-Del Rio Cons ISD,EDWARDS,KINNEY,SUTTON,VAL VERDE,,,,,,
233903,Comstock ISD,CROCKETT,SUTTON,TERRELL,VAL VERDE,,,,,,
234902,Canton ISD,HENDERSON,KAUFMAN,VAN ZANDT,,,,,,,
234903,Edgewood ISD (Van Zandt),RAINS,VAN ZANDT,,,,,,,,
234904,Grand Saline ISD,RAINS,SMITH,VAN ZANDT,WOOD,,,,,,
234905,Martins Mill ISD,HENDERSON,VAN ZANDT,,,,,,,,
234906,Van ISD,HENDERSON,SMITH,VAN ZANDT,WOOD,,,,,,
234907,Wills Point ISD,HUNT,KAUFMAN,RAINS,VAN ZANDT,,,,,,
234909,Fruitvale ISD,RAINS,VAN ZANDT,,,,,,,,
235901,Bloomington ISD,CALHOUN,JACKSON,VICTORIA,,,,,,,
235902,Victoria ISD,DE WITT,GOLIAD,JACKSON,LAVACA,REFUGIO,VICTORIA,,,,
235904,Nursery ISD,DE WITT,VICTORIA,,,,,,,,
236901,New Waverly ISD,MONTGOMERY,SAN JACINTO,WALKER,,,,,,,
236902,Huntsville ISD,GRIMES,HOUSTON,MADISON,MONTGOMERY,SAN JACINTO,TRINITY,WALKER,,,
237902,Hempstead ISD,AUSTIN,GRIMES,WALLER,WASHINGTON,,,,,,
237904,Waller ISD,GRIMES,HARRIS,MONTGOMERY,WALLER,,,,,,
237905,Royal ISD,AUSTIN,FORT BEND,HARRIS,WALLER,,,,,,
238902,Monahans-Wickett-Pyote ISD,CRANE,ECTOR,LOVING,REEVES,WARD,WINKLER,,,,
238904,Grandfalls-Royalty ISD,CRANE,PECOS,REEVES,WARD,,,,,,
239901,Brenham ISD,AUSTIN,BRAZOS,BURLESON,GRIMES,WALLER,WASHINGTON,,,,
239903,Burton ISD,AUSTIN,BURLESON,FAYETTE,LEE,WASHINGTON,,,,,
240901,Laredo ISD,WEBB,,,,,,,,,
240903,United ISD,DIMMIT,DUVAL,LA SALLE,MAVERICK,MCMULLEN,WEBB,ZAPATA,,,
240904,Webb Cons ISD,DUVAL,JIM HOGG,WEBB,ZAPATA,,,,,,
241901,Boling ISD,BRAZORIA,FORT BEND,MATAGORDA,WHARTON,,,,,,
241902,East Bernard ISD,AUSTIN,COLORADO,FORT BEND,WHARTON,,,,,,
241903,El Campo ISD,COLORADO,JACKSON,MATAGORDA,WHARTON,,,,,,
241904,Wharton ISD,MATAGORDA,WHARTON,,,,,,,,
241906,Louise ISD,JACKSON,MATAGORDA,WHARTON,,,,,,,
242902,Shamrock ISD,COLLINGSWORTH,WHEELER,,,,,,,,
242903,Wheeler ISD,GRAY,WHEELER,,,,,,,,
242905,Kelton ISD,WHEELER,,,,,,,,,
242906,Fort Elliott Cons ISD,GRAY,HEMPHILL,ROBERTS,WHEELER,,,,,,
243901,Burkburnett ISD,CLAY,WICHITA,,,,,,,,
243902,Electra ISD,ARCHER,WICHITA,WILBARGER,,,,,,,
243903,Iowa Park Cons ISD,ARCHER,BAYLOR,WICHITA,,,,,,,
243905,Wichita Falls ISD,ARCHER,CLAY,WICHITA,,,,,,,
243906,City View ISD,WICHITA,,,,,,,,,
244901,Harrold ISD,ARCHER,BAYLOR,WICHITA,WILBARGER,,,,,,
244903,Vernon ISD,BAYLOR,FOARD,HARDEMAN,WILBARGER,,,,,,
244905,Northside ISD (Wilbarger),WILBARGER,,,,,,,,,
245901,Lasara ISD,HIDALGO,WILLACY,,,,,,,,
245902,Lyford Cons ISD,CAMERON,HIDALGO,WILLACY,,,,,,,
245903,Raymondville ISD,HIDALGO,KENEDY,WILLACY,,,,,,,
245904,San Perlita ISD,KENEDY,WILLACY,,,,,,,,
246902,Florence ISD,BELL,BURNET,WILLIAMSON,,,,,,,
246904,Georgetown ISD,WILLIAMSON,,,,,,,,,
246905,Granger ISD,MILAM,WILLIAMSON,,,,,,,,
246906,Hutto ISD,TRAVIS,WILLIAMSON,,,,,,,,
246907,Jarrell ISD,BELL,WILLIAMSON,,,,,,,,
246908,Liberty Hill ISD,BURNET,TRAVIS,WILLIAMSON,,,,,,,
246909,Round Rock ISD,TRAVIS,WILLIAMSON,,,,,,,,
246911,Taylor ISD,TRAVIS,WILLIAMSON,,,,,,,,
246912,Thrall ISD,LEE,MILAM,WILLIAMSON,,,,,,,
246913,Leander ISD,BURNET,TRAVIS,WILLIAMSON,,,,,,,
246914,Coupland ISD,BASTROP,LEE,TRAVIS,WILLIAMSON,,,,,,
247901,Floresville ISD,ATASCOSA,BEXAR,WILSON,,,,,,,
247903,La Vernia ISD,BEXAR,GUADALUPE,WILSON,,,,,,,
247904,Poth ISD,ATASCOSA,KARNES,WILSON,,,,,,,
247906,Stockdale ISD,GUADALUPE,KARNES,WILSON,,,,,,,
248901,Kermit ISD,ANDREWS,ECTOR,WINKLER,,,,,,,
248902,Wink-Loving ISD,ECTOR,LOVING,REEVES,WARD,WINKLER,,,,,
249901,Alvord ISD,MONTAGUE,WISE,,,,,,,,
249902,Boyd ISD,WISE,,,,,,,,,
249903,Bridgeport ISD,JACK,WISE,,,,,,,,
249904,Chico ISD,JACK,MONTAGUE,WISE,,,,,,,
249905,Decatur ISD,DENTON,WISE,,,,,,,,
249906,Paradise ISD,WISE,,,,,,,,,
249908,Slidell ISD,COOKE,DENTON,MONTAGUE,WISE,,,,,,
250902,Hawkins ISD,SMITH,WOOD,,,,,,,,
250903,Mineola ISD,SMITH,WOOD,,,,,,,,
250904,Quitman ISD,HOPKINS,WOOD,,,,,,,,
250905,Yantis ISD,HOPKINS,RAINS,WOOD,,,,,,,
250906,Alba-Golden ISD,RAINS,SMITH,VAN ZANDT,WOOD,,,,,,
250907,Winnsboro ISD,CAMP,FRANKLIN,HOPKINS,WOOD,,,,,,
251901,Denver City ISD,GAINES,TERRY,YOAKUM,,,,,,,
251902,Plains ISD,COCHRAN,HOCKLEY,TERRY,YOAKUM,,,,,,
252901,Graham ISD,ARCHER,JACK,PALO PINTO,STEPHENS,THROCKMORTON,YOUNG,,,,
252902,Newcastle ISD,THROCKMORTON,YOUNG,,,,,,,,
252903,Olney ISD,ARCHER,BAYLOR,THROCKMORTON,YOUNG,,,,,,
253901,Zapata County ISD,JIM HOGG,STARR,WEBB,ZAPATA,,,,,,
254901,Crystal City ISD,DIMMIT,FRIO,MAVERICK,ZAVALA,,,,,,
254902,La Pryor ISD,KINNEY,MAVERICK,UVALDE,ZAVALA,,,,,,
